id,id_ucenik,datum,cas,status
1,1,2021-05-14,1,оправдан
2,1,2021-05-14,2,неоправдан
3,4,2021-05-14,1,нерегулисан
4,4,2021-05-14,2,нерегулисан
5,6,2021-06-01,1,неоправдан
6,1,2021-05-14,3,оправдан
7,8,2021-06-01,1,оправдан
8,8,2021-06-01,2,нерегулисан
9,100,2021-03-02,1,неоправдан
10,100,2021-03-02,7,неоправдан
11,100,2021-03-01,2,неоправдан
12,100,2021-03-10,1,неоправдан
13,100,2021-03-14,1,неоправдан
14,13,2021-03-02,1,оправдан
15,219,2021-03-01,1,нерегулисан
16,15,2020-09-01,1,оправдан
17,15,2020-09-01,2,оправдан
18,15,2020-09-01,3,оправдан
19,15,2020-09-01,4,оправдан
20,15,2020-09-01,5,оправдан
21,15,2020-09-01,6,оправдан
22,15,2020-09-01,7,оправдан
23,175,2020-09-01,1,оправдан
24,175,2020-09-01,2,оправдан
25,175,2020-09-01,3,оправдан
26,175,2020-09-01,4,оправдан
27,175,2020-09-01,5,оправдан
28,175,2020-09-01,6,оправдан
29,175,2020-09-01,7,оправдан
30,220,2020-09-01,1,оправдан
31,220,2020-09-01,2,оправдан
32,220,2020-09-01,3,оправдан
33,220,2020-09-01,4,оправдан
34,220,2020-09-01,5,оправдан
35,220,2020-09-01,6,оправдан
36,220,2020-09-01,7,оправдан
37,234,2020-09-01,1,оправдан
38,234,2020-09-01,2,оправдан
39,234,2020-09-01,3,оправдан
40,234,2020-09-01,4,оправдан
41,234,2020-09-01,5,оправдан
42,234,2020-09-01,6,оправдан
43,234,2020-09-01,7,оправдан
44,296,2020-09-01,1,оправдан
45,296,2020-09-01,2,оправдан
46,296,2020-09-01,3,оправдан
47,296,2020-09-01,4,оправдан
48,296,2020-09-01,5,оправдан
49,296,2020-09-01,6,оправдан
50,296,2020-09-01,7,оправдан
51,287,2020-09-01,1,оправдан
52,287,2020-09-01,2,оправдан
53,287,2020-09-01,3,оправдан
54,287,2020-09-01,4,оправдан
55,287,2020-09-01,5,оправдан
56,287,2020-09-01,6,оправдан
57,287,2020-09-01,7,оправдан
58,291,2020-09-01,1,оправдан
59,291,2020-09-01,2,оправдан
60,291,2020-09-01,3,оправдан
61,291,2020-09-01,4,оправдан
62,291,2020-09-01,5,оправдан
63,291,2020-09-01,6,оправдан
64,291,2020-09-01,7,оправдан
65,269,2020-09-01,1,оправдан
66,269,2020-09-01,2,оправдан
67,269,2020-09-01,3,оправдан
68,269,2020-09-01,4,оправдан
69,269,2020-09-01,5,оправдан
70,269,2020-09-01,6,оправдан
71,269,2020-09-01,7,оправдан
72,231,2020-09-01,1,оправдан
73,231,2020-09-01,2,оправдан
74,231,2020-09-01,3,оправдан
75,231,2020-09-01,4,оправдан
76,231,2020-09-01,5,оправдан
77,231,2020-09-01,6,оправдан
78,231,2020-09-01,7,оправдан
79,129,2020-09-01,1,оправдан
80,129,2020-09-01,2,оправдан
81,129,2020-09-01,3,оправдан
82,129,2020-09-01,4,оправдан
83,129,2020-09-01,5,оправдан
84,129,2020-09-01,6,оправдан
85,129,2020-09-01,7,оправдан
86,251,2020-09-02,1,оправдан
87,251,2020-09-02,2,оправдан
88,251,2020-09-02,3,оправдан
89,251,2020-09-02,4,оправдан
90,251,2020-09-02,5,оправдан
91,251,2020-09-02,6,оправдан
92,251,2020-09-02,7,оправдан
93,282,2020-09-02,1,оправдан
94,282,2020-09-02,2,оправдан
95,282,2020-09-02,3,оправдан
96,282,2020-09-02,4,оправдан
97,282,2020-09-02,5,оправдан
98,282,2020-09-02,6,оправдан
99,282,2020-09-02,7,оправдан
100,223,2020-09-02,1,оправдан
101,223,2020-09-02,2,оправдан
102,223,2020-09-02,3,оправдан
103,223,2020-09-02,4,оправдан
104,223,2020-09-02,5,оправдан
105,223,2020-09-02,6,оправдан
106,223,2020-09-02,7,оправдан
107,327,2020-09-02,1,оправдан
108,327,2020-09-02,2,оправдан
109,327,2020-09-02,3,оправдан
110,327,2020-09-02,4,оправдан
111,327,2020-09-02,5,оправдан
112,327,2020-09-02,6,оправдан
113,327,2020-09-02,7,оправдан
114,53,2020-09-02,1,оправдан
115,53,2020-09-02,2,оправдан
116,53,2020-09-02,3,оправдан
117,53,2020-09-02,4,оправдан
118,53,2020-09-02,5,оправдан
119,53,2020-09-02,6,оправдан
120,53,2020-09-02,7,оправдан
121,301,2020-09-03,1,оправдан
122,301,2020-09-03,2,оправдан
123,301,2020-09-03,3,оправдан
124,301,2020-09-03,4,оправдан
125,301,2020-09-03,5,оправдан
126,301,2020-09-03,6,оправдан
127,301,2020-09-03,7,оправдан
128,97,2020-09-03,1,оправдан
129,97,2020-09-03,2,оправдан
130,97,2020-09-03,3,оправдан
131,97,2020-09-03,4,оправдан
132,97,2020-09-03,5,оправдан
133,97,2020-09-03,6,оправдан
134,97,2020-09-03,7,оправдан
135,64,2020-09-03,1,оправдан
136,64,2020-09-03,2,оправдан
137,64,2020-09-03,3,оправдан
138,64,2020-09-03,4,оправдан
139,64,2020-09-03,5,оправдан
140,64,2020-09-03,6,оправдан
141,64,2020-09-03,7,оправдан
142,33,2020-09-03,1,оправдан
143,33,2020-09-03,2,оправдан
144,33,2020-09-03,3,оправдан
145,33,2020-09-03,4,оправдан
146,33,2020-09-03,5,оправдан
147,33,2020-09-03,6,оправдан
148,33,2020-09-03,7,оправдан
149,40,2020-09-03,1,оправдан
150,40,2020-09-03,2,оправдан
151,40,2020-09-03,3,оправдан
152,40,2020-09-03,4,оправдан
153,40,2020-09-03,5,оправдан
154,40,2020-09-03,6,оправдан
155,40,2020-09-03,7,оправдан
156,182,2020-09-03,1,оправдан
157,182,2020-09-03,2,оправдан
158,182,2020-09-03,3,оправдан
159,182,2020-09-03,4,оправдан
160,182,2020-09-03,5,оправдан
161,182,2020-09-03,6,оправдан
162,182,2020-09-03,7,оправдан
163,37,2020-09-03,1,оправдан
164,37,2020-09-03,2,оправдан
165,37,2020-09-03,3,оправдан
166,37,2020-09-03,4,оправдан
167,37,2020-09-03,5,оправдан
168,37,2020-09-03,6,оправдан
169,37,2020-09-03,7,оправдан
170,55,2020-09-04,1,оправдан
171,55,2020-09-04,2,оправдан
172,55,2020-09-04,3,оправдан
173,55,2020-09-04,4,оправдан
174,55,2020-09-04,5,оправдан
175,55,2020-09-04,6,оправдан
176,298,2020-09-04,1,оправдан
177,298,2020-09-04,2,оправдан
178,298,2020-09-04,3,оправдан
179,298,2020-09-04,4,оправдан
180,298,2020-09-04,5,оправдан
181,298,2020-09-04,6,оправдан
182,211,2020-09-04,1,оправдан
183,211,2020-09-04,2,оправдан
184,211,2020-09-04,3,оправдан
185,211,2020-09-04,4,оправдан
186,211,2020-09-04,5,оправдан
187,211,2020-09-04,6,оправдан
188,295,2020-09-04,1,оправдан
189,295,2020-09-04,2,оправдан
190,295,2020-09-04,3,оправдан
191,295,2020-09-04,4,оправдан
192,295,2020-09-04,5,оправдан
193,295,2020-09-04,6,оправдан
194,340,2020-09-04,1,оправдан
195,340,2020-09-04,2,оправдан
196,340,2020-09-04,3,оправдан
197,340,2020-09-04,4,оправдан
198,340,2020-09-04,5,оправдан
199,340,2020-09-04,6,оправдан
200,343,2020-09-04,1,оправдан
201,343,2020-09-04,2,оправдан
202,343,2020-09-04,3,оправдан
203,343,2020-09-04,4,оправдан
204,343,2020-09-04,5,оправдан
205,343,2020-09-04,6,оправдан
206,144,2020-09-07,1,оправдан
207,144,2020-09-07,2,оправдан
208,144,2020-09-07,3,оправдан
209,144,2020-09-07,4,оправдан
210,144,2020-09-07,5,оправдан
211,144,2020-09-07,6,оправдан
212,299,2020-09-07,1,оправдан
213,299,2020-09-07,2,оправдан
214,299,2020-09-07,3,оправдан
215,299,2020-09-07,4,оправдан
216,299,2020-09-07,5,оправдан
217,299,2020-09-07,6,оправдан
218,155,2020-09-07,1,оправдан
219,155,2020-09-07,2,оправдан
220,155,2020-09-07,3,оправдан
221,155,2020-09-07,4,оправдан
222,155,2020-09-07,5,оправдан
223,155,2020-09-07,6,оправдан
224,145,2020-09-07,1,оправдан
225,145,2020-09-07,2,оправдан
226,145,2020-09-07,3,оправдан
227,145,2020-09-07,4,оправдан
228,145,2020-09-07,5,оправдан
229,145,2020-09-07,6,оправдан
230,137,2020-09-07,1,оправдан
231,137,2020-09-07,2,оправдан
232,137,2020-09-07,3,оправдан
233,137,2020-09-07,4,оправдан
234,137,2020-09-07,5,оправдан
235,137,2020-09-07,6,оправдан
236,111,2020-09-07,1,оправдан
237,111,2020-09-07,2,оправдан
238,111,2020-09-07,3,оправдан
239,111,2020-09-07,4,оправдан
240,111,2020-09-07,5,оправдан
241,111,2020-09-07,6,оправдан
242,210,2020-09-07,1,оправдан
243,210,2020-09-07,2,оправдан
244,210,2020-09-07,3,оправдан
245,210,2020-09-07,4,оправдан
246,210,2020-09-07,5,оправдан
247,210,2020-09-07,6,оправдан
248,128,2020-09-08,1,оправдан
249,128,2020-09-08,2,оправдан
250,128,2020-09-08,3,оправдан
251,128,2020-09-08,4,оправдан
252,128,2020-09-08,5,оправдан
253,128,2020-09-08,6,оправдан
254,128,2020-09-08,7,оправдан
255,256,2020-09-08,1,оправдан
256,256,2020-09-08,2,оправдан
257,256,2020-09-08,3,оправдан
258,256,2020-09-08,4,оправдан
259,256,2020-09-08,5,оправдан
260,256,2020-09-08,6,оправдан
261,256,2020-09-08,7,оправдан
262,94,2020-09-08,1,оправдан
263,94,2020-09-08,2,оправдан
264,94,2020-09-08,3,оправдан
265,94,2020-09-08,4,оправдан
266,94,2020-09-08,5,оправдан
267,94,2020-09-08,6,оправдан
268,94,2020-09-08,7,оправдан
269,56,2020-09-08,1,оправдан
270,56,2020-09-08,2,оправдан
271,56,2020-09-08,3,оправдан
272,56,2020-09-08,4,оправдан
273,56,2020-09-08,5,оправдан
274,56,2020-09-08,6,оправдан
275,56,2020-09-08,7,оправдан
276,147,2020-09-08,1,оправдан
277,147,2020-09-08,2,оправдан
278,147,2020-09-08,3,оправдан
279,147,2020-09-08,4,оправдан
280,147,2020-09-08,5,оправдан
281,147,2020-09-08,6,оправдан
282,147,2020-09-08,7,оправдан
283,209,2020-09-08,1,оправдан
284,209,2020-09-08,2,оправдан
285,209,2020-09-08,3,оправдан
286,209,2020-09-08,4,оправдан
287,209,2020-09-08,5,оправдан
288,209,2020-09-08,6,оправдан
289,209,2020-09-08,7,оправдан
290,32,2020-09-09,1,оправдан
291,32,2020-09-09,2,оправдан
292,32,2020-09-09,3,оправдан
293,32,2020-09-09,4,оправдан
294,32,2020-09-09,5,оправдан
295,32,2020-09-09,6,оправдан
296,32,2020-09-09,7,оправдан
297,243,2020-09-09,1,оправдан
298,243,2020-09-09,2,оправдан
299,243,2020-09-09,3,оправдан
300,243,2020-09-09,4,оправдан
301,243,2020-09-09,5,оправдан
302,243,2020-09-09,6,оправдан
303,243,2020-09-09,7,оправдан
304,190,2020-09-09,1,оправдан
305,190,2020-09-09,2,оправдан
306,190,2020-09-09,3,оправдан
307,190,2020-09-09,4,оправдан
308,190,2020-09-09,5,оправдан
309,190,2020-09-09,6,оправдан
310,190,2020-09-09,7,оправдан
311,297,2020-09-09,1,оправдан
312,297,2020-09-09,2,оправдан
313,297,2020-09-09,3,оправдан
314,297,2020-09-09,4,оправдан
315,297,2020-09-09,5,оправдан
316,297,2020-09-09,6,оправдан
317,297,2020-09-09,7,оправдан
318,311,2020-09-09,1,оправдан
319,311,2020-09-09,2,оправдан
320,311,2020-09-09,3,оправдан
321,311,2020-09-09,4,оправдан
322,311,2020-09-09,5,оправдан
323,311,2020-09-09,6,оправдан
324,311,2020-09-09,7,оправдан
325,341,2020-09-09,1,оправдан
326,341,2020-09-09,2,оправдан
327,341,2020-09-09,3,оправдан
328,341,2020-09-09,4,оправдан
329,341,2020-09-09,5,оправдан
330,341,2020-09-09,6,оправдан
331,341,2020-09-09,7,оправдан
332,185,2020-09-09,1,оправдан
333,185,2020-09-09,2,оправдан
334,185,2020-09-09,3,оправдан
335,185,2020-09-09,4,оправдан
336,185,2020-09-09,5,оправдан
337,185,2020-09-09,6,оправдан
338,185,2020-09-09,7,оправдан
339,241,2020-09-10,1,оправдан
340,241,2020-09-10,2,оправдан
341,241,2020-09-10,3,оправдан
342,241,2020-09-10,4,оправдан
343,241,2020-09-10,5,оправдан
344,241,2020-09-10,6,оправдан
345,241,2020-09-10,7,оправдан
346,187,2020-09-10,1,оправдан
347,187,2020-09-10,2,оправдан
348,187,2020-09-10,3,оправдан
349,187,2020-09-10,4,оправдан
350,187,2020-09-10,5,оправдан
351,187,2020-09-10,6,оправдан
352,187,2020-09-10,7,оправдан
353,10,2020-09-10,1,оправдан
354,10,2020-09-10,2,оправдан
355,10,2020-09-10,3,оправдан
356,10,2020-09-10,4,оправдан
357,10,2020-09-10,5,оправдан
358,10,2020-09-10,6,оправдан
359,10,2020-09-10,7,оправдан
360,116,2020-09-10,1,оправдан
361,116,2020-09-10,2,оправдан
362,116,2020-09-10,3,оправдан
363,116,2020-09-10,4,оправдан
364,116,2020-09-10,5,оправдан
365,116,2020-09-10,6,оправдан
366,116,2020-09-10,7,оправдан
367,139,2020-09-10,1,оправдан
368,139,2020-09-10,2,оправдан
369,139,2020-09-10,3,оправдан
370,139,2020-09-10,4,оправдан
371,139,2020-09-10,5,оправдан
372,139,2020-09-10,6,оправдан
373,139,2020-09-10,7,оправдан
374,30,2020-09-10,1,оправдан
375,30,2020-09-10,2,оправдан
376,30,2020-09-10,3,оправдан
377,30,2020-09-10,4,оправдан
378,30,2020-09-10,5,оправдан
379,30,2020-09-10,6,оправдан
380,30,2020-09-10,7,оправдан
381,250,2020-09-10,1,оправдан
382,250,2020-09-10,2,оправдан
383,250,2020-09-10,3,оправдан
384,250,2020-09-10,4,оправдан
385,250,2020-09-10,5,оправдан
386,250,2020-09-10,6,оправдан
387,250,2020-09-10,7,оправдан
388,170,2020-09-10,1,оправдан
389,170,2020-09-10,2,оправдан
390,170,2020-09-10,3,оправдан
391,170,2020-09-10,4,оправдан
392,170,2020-09-10,5,оправдан
393,170,2020-09-10,6,оправдан
394,170,2020-09-10,7,оправдан
395,37,2020-09-10,1,оправдан
396,37,2020-09-10,2,оправдан
397,37,2020-09-10,3,оправдан
398,37,2020-09-10,4,оправдан
399,37,2020-09-10,5,оправдан
400,37,2020-09-10,6,оправдан
401,37,2020-09-10,7,оправдан
402,32,2020-09-11,1,оправдан
403,32,2020-09-11,2,оправдан
404,32,2020-09-11,3,оправдан
405,32,2020-09-11,4,оправдан
406,32,2020-09-11,5,оправдан
