id,id_predmet,id_ucenik,ocena,datum,vrsta
11,1,1,3,2020-10-15,писмени задатак
12,1,2,3,2020-10-15,писмени задатак
13,1,3,2,2020-10-15,писмени задатак
15,1,14,3,2020-10-15,писмени задатак
16,1,15,1,2020-10-15,писмени задатак
17,1,16,3,2020-10-15,писмени задатак
18,1,17,4,2020-10-15,писмени задатак
19,1,18,4,2020-10-15,писмени задатак
20,1,19,5,2020-10-15,писмени задатак
21,1,20,2,2020-10-15,писмени задатак
22,1,21,1,2020-10-15,писмени задатак
23,1,22,1,2020-10-15,писмени задатак
24,1,23,3,2020-10-15,писмени задатак
25,1,24,4,2020-10-15,писмени задатак
26,1,25,2,2020-10-15,писмени задатак
27,1,26,5,2020-10-15,писмени задатак
28,1,27,1,2020-10-15,писмени задатак
29,1,28,2,2020-10-15,писмени задатак
30,1,29,1,2020-10-15,писмени задатак
31,1,30,3,2020-10-15,писмени задатак
32,1,31,3,2020-10-15,писмени задатак
33,1,32,4,2020-10-15,писмени задатак
35,1,34,4,2020-10-15,писмени задатак
36,1,35,1,2020-10-15,писмени задатак
37,1,36,4,2020-10-15,писмени задатак
38,1,37,5,2020-10-15,писмени задатак
39,1,6,4,2020-10-15,писмени задатак
40,1,7,1,2020-10-15,писмени задатак
41,1,12,2,2020-10-15,писмени задатак
42,1,38,2,2020-10-15,писмени задатак
43,1,39,5,2020-10-15,писмени задатак
44,1,40,5,2020-10-15,писмени задатак
45,1,41,3,2020-10-15,писмени задатак
46,1,42,4,2020-10-15,писмени задатак
47,1,43,5,2020-10-15,писмени задатак
48,1,44,2,2020-10-15,писмени задатак
49,1,45,5,2020-10-15,писмени задатак
50,1,46,4,2020-10-15,писмени задатак
51,1,47,5,2020-10-15,писмени задатак
52,1,48,3,2020-10-15,писмени задатак
53,1,49,5,2020-10-15,писмени задатак
54,1,50,4,2020-10-15,писмени задатак
55,1,51,1,2020-10-15,писмени задатак
56,1,52,4,2020-10-15,писмени задатак
57,1,53,1,2020-10-15,писмени задатак
58,1,54,1,2020-10-15,писмени задатак
59,1,55,3,2020-10-15,писмени задатак
60,1,56,4,2020-10-15,писмени задатак
61,1,57,2,2020-10-15,писмени задатак
62,1,58,4,2020-10-15,писмени задатак
63,1,59,5,2020-10-15,писмени задатак
64,1,60,4,2020-10-15,писмени задатак
65,1,61,2,2020-10-15,писмени задатак
66,1,62,1,2020-10-15,писмени задатак
67,1,63,4,2020-10-15,писмени задатак
68,1,64,1,2020-10-15,писмени задатак
69,1,65,5,2020-10-15,писмени задатак
70,1,66,5,2020-10-15,писмени задатак
71,1,67,5,2020-10-15,писмени задатак
72,1,68,2,2020-10-16,писмени задатак
73,1,69,5,2020-10-16,писмени задатак
74,1,70,1,2020-10-16,писмени задатак
75,1,71,5,2020-10-16,писмени задатак
76,1,72,2,2020-10-16,писмени задатак
77,1,73,5,2020-10-16,писмени задатак
78,1,74,4,2020-10-16,писмени задатак
79,1,75,4,2020-10-16,писмени задатак
80,1,76,4,2020-10-16,писмени задатак
81,1,77,2,2020-10-16,писмени задатак
82,1,78,1,2020-10-16,писмени задатак
83,1,79,2,2020-10-16,писмени задатак
84,1,80,2,2020-10-16,писмени задатак
85,1,81,1,2020-10-16,писмени задатак
86,1,82,3,2020-10-16,писмени задатак
87,1,83,5,2020-10-16,писмени задатак
88,1,84,1,2020-10-16,писмени задатак
89,1,85,5,2020-10-16,писмени задатак
90,1,86,2,2020-10-16,писмени задатак
91,1,87,3,2020-10-16,писмени задатак
92,1,88,2,2020-10-16,писмени задатак
93,1,89,1,2020-10-16,писмени задатак
94,1,90,2,2020-10-16,писмени задатак
95,1,91,2,2020-10-16,писмени задатак
96,1,92,5,2020-10-16,писмени задатак
97,1,93,3,2020-10-16,писмени задатак
98,1,94,4,2020-10-16,писмени задатак
99,1,95,4,2020-10-16,писмени задатак
100,1,96,4,2020-10-16,писмени задатак
101,1,1,2,2020-11-22,контролна вежба
102,1,2,5,2020-11-22,контролна вежба
103,1,3,5,2020-11-22,контролна вежба
104,1,13,5,2020-11-22,контролна вежба
105,1,14,3,2020-11-22,контролна вежба
106,1,15,5,2020-11-22,контролна вежба
107,1,16,1,2020-11-22,контролна вежба
108,1,17,3,2020-11-22,контролна вежба
109,1,18,1,2020-11-22,контролна вежба
110,1,19,5,2020-11-22,контролна вежба
111,1,20,4,2020-11-22,контролна вежба
112,1,21,1,2020-11-22,контролна вежба
113,1,22,3,2020-11-22,контролна вежба
114,1,23,2,2020-11-22,контролна вежба
115,1,24,5,2020-11-22,контролна вежба
116,1,25,5,2020-11-22,контролна вежба
117,1,26,5,2020-11-22,контролна вежба
118,1,27,5,2020-11-22,контролна вежба
119,1,28,2,2020-11-22,контролна вежба
120,1,29,1,2020-11-22,контролна вежба
121,1,30,4,2020-11-22,контролна вежба
122,1,31,5,2020-11-22,контролна вежба
123,1,32,3,2020-11-22,контролна вежба
124,1,33,5,2020-11-22,контролна вежба
125,1,34,5,2020-11-22,контролна вежба
126,1,35,3,2020-11-22,контролна вежба
127,1,36,2,2020-11-22,контролна вежба
128,1,37,3,2020-11-22,контролна вежба
129,1,6,2,2020-11-23,контролна вежба
130,1,7,5,2020-11-23,контролна вежба
131,1,12,3,2020-11-23,контролна вежба
132,1,38,1,2020-11-23,контролна вежба
133,1,39,4,2020-11-23,контролна вежба
134,1,40,5,2020-11-23,контролна вежба
135,1,41,3,2020-11-23,контролна вежба
136,1,42,2,2020-11-23,контролна вежба
137,1,43,4,2020-11-23,контролна вежба
138,1,44,4,2020-11-23,контролна вежба
139,1,45,5,2020-11-23,контролна вежба
140,1,46,5,2020-11-23,контролна вежба
141,1,47,5,2020-11-23,контролна вежба
142,1,48,5,2020-11-23,контролна вежба
143,1,49,5,2020-11-23,контролна вежба
144,1,50,4,2020-11-23,контролна вежба
145,1,51,3,2020-11-23,контролна вежба
146,1,52,3,2020-11-23,контролна вежба
147,1,53,1,2020-11-23,контролна вежба
148,1,54,3,2020-11-23,контролна вежба
149,1,55,3,2020-11-23,контролна вежба
150,1,56,1,2020-11-23,контролна вежба
151,1,57,5,2020-11-23,контролна вежба
152,1,58,3,2020-11-23,контролна вежба
153,1,59,3,2020-11-23,контролна вежба
154,1,60,2,2020-11-23,контролна вежба
155,1,61,2,2020-11-23,контролна вежба
156,1,62,3,2020-11-23,контролна вежба
157,1,63,5,2020-11-23,контролна вежба
158,1,64,1,2020-11-23,контролна вежба
159,1,65,2,2020-11-23,контролна вежба
160,1,66,1,2020-11-23,контролна вежба
161,1,67,3,2020-11-23,контролна вежба
162,1,68,2,2020-11-22,контролна вежба
163,1,69,4,2020-11-22,контролна вежба
164,1,70,5,2020-11-22,контролна вежба
165,1,71,3,2020-11-22,контролна вежба
166,1,72,4,2020-11-22,контролна вежба
167,1,73,4,2020-11-22,контролна вежба
168,1,74,5,2020-11-22,контролна вежба
169,1,75,1,2020-11-22,контролна вежба
170,1,76,1,2020-11-22,контролна вежба
171,1,77,3,2020-11-22,контролна вежба
172,1,78,1,2020-11-22,контролна вежба
173,1,79,3,2020-11-22,контролна вежба
174,1,80,2,2020-11-22,контролна вежба
175,1,81,3,2020-11-22,контролна вежба
176,1,82,1,2020-11-22,контролна вежба
177,1,83,2,2020-11-22,контролна вежба
178,1,84,4,2020-11-22,контролна вежба
179,1,85,1,2020-11-22,контролна вежба
180,1,86,1,2020-11-22,контролна вежба
181,1,87,4,2020-11-22,контролна вежба
182,1,88,4,2020-11-22,контролна вежба
183,1,89,2,2020-11-22,контролна вежба
